exemplar,accordeon,banjo,basgitaar,cello,cimbalen,contrabas,doedelzak,drumstel,dwarsfluit,fagot,fluit,gitaar,harp,klarinet,klavecimbel,mondharmonica,orgel,panfluit,piano,saxofoon,synthesizer,tamboerijn,triangel,trombone,trommel,trompet,viool
accordeon,20.0,7.0,3.0,4.0,6.0,3.0,9.0,3.0,3.0,,2.0,7.0,3.0,6.0,3.0,9.0,3.0,3.0,9.0,3.0,9.0,4.0,2.0,3.0,3.0,6.0,6.0
banjo,7.0,20.0,11.0,5.0,4.0,7.0,6.0,6.0,6.0,,4.0,17.0,9.0,7.0,2.0,5.0,6.0,3.0,3.0,9.0,3.0,4.0,5.0,3.0,3.0,3.0,3.0
basgitaar,3.0,11.0,20.0,5.0,3.0,18.0,3.0,12.0,4.0,,2.0,19.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,6.0,8.0,3.0,1.0,3.0,6.0,6.0,2.0
cello,4.0,5.0,5.0,20.0,7.0,6.0,7.0,5.0,7.0,,6.0,10.0,5.0,5.0,6.0,7.0,8.0,7.0,8.0,5.0,6.0,6.0,6.0,13.0,10.0,6.0,6.0
cimbalen,6.0,4.0,3.0,7.0,20.0,3.0,3.0,10.0,4.0,,3.0,3.0,7.0,7.0,11.0,4.0,2.0,3.0,2.0,3.0,3.0,10.0,8.0,3.0,6.0,6.0,7.0
contrabas,3.0,7.0,18.0,6.0,3.0,20.0,3.0,5.0,3.0,,6.0,8.0,6.0,7.0,6.0,3.0,3.0,2.0,3.0,13.0,8.0,2.0,5.0,6.0,5.0,6.0,2.0
doedelzak,9.0,6.0,3.0,7.0,3.0,3.0,20.0,4.0,6.0,,7.0,3.0,9.0,3.0,2.0,4.0,3.0,7.0,3.0,3.0,3.0,7.0,3.0,9.0,7.0,3.0,2.0
drumstel,3.0,6.0,12.0,5.0,10.0,5.0,4.0,20.0,3.0,,3.0,3.0,1.0,3.0,5.0,3.0,6.0,3.0,5.0,6.0,9.0,6.0,2.0,3.0,16.0,5.0,1.0
dwarsfluit,3.0,6.0,4.0,7.0,4.0,3.0,6.0,3.0,20.0,,10.0,3.0,7.0,12.0,2.0,13.0,3.0,18.0,3.0,9.0,4.0,3.0,6.0,7.0,6.0,10.0,5.0
fagot,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,
