exemplar,accordeon,banjo,basgitaar,cello,cimbalen,contrabas,doedelzak,drumstel,dwarsfluit,fagot,fluit,gitaar,harp,klarinet,klavecimbel,mondharmonica,orgel,panfluit,piano,saxofoon,synthesizer,tamboerijn,triangel,trombone,trommel,trompet,viool
accordeon,20.0,18.0,9.0,9.0,7.0,12.0,10.0,5.0,12.0,3.0,10.0,13.0,5.0,8.0,10.0,13.0,7.0,13.0,4.0,15.0,10.0,10.0,8.0,6.0,10.0,5.0,4.0
banjo,18.0,20.0,18.0,5.0,6.0,16.0,6.0,6.0,4.0,12.0,15.0,19.0,7.0,6.0,3.0,4.0,6.0,14.0,4.0,6.0,5.0,9.0,6.0,7.0,4.0,6.0,4.0
basgitaar,9.0,18.0,20.0,5.0,4.0,4.0,9.0,8.0,3.0,6.0,7.0,19.0,5.0,8.0,8.0,4.0,1.0,7.0,4.0,5.0,5.0,9.0,1.0,6.0,5.0,6.0,4.0
cello,9.0,5.0,5.0,20.0,9.0,19.0,1.0,4.0,4.0,1.0,7.0,6.0,13.0,8.0,14.0,1.0,4.0,10.0,8.0,4.0,5.0,4.0,8.0,8.0,3.0,3.0,16.0
cimbalen,7.0,6.0,4.0,9.0,20.0,1.0,4.0,15.0,1.0,7.0,4.0,7.0,5.0,15.0,15.0,12.0,4.0,11.0,3.0,4.0,7.0,17.0,12.0,12.0,5.0,4.0,1.0
contrabas,12.0,16.0,4.0,19.0,1.0,20.0,10.0,3.0,8.0,6.0,9.0,10.0,13.0,1.0,6.0,6.0,8.0,4.0,5.0,11.0,4.0,4.0,2.0,6.0,4.0,19.0,14.0
doedelzak,10.0,6.0,9.0,1.0,4.0,10.0,20.0,5.0,4.0,4.0,5.0,6.0,4.0,6.0,6.0,9.0,7.0,6.0,3.0,4.0,1.0,12.0,12.0,4.0,4.0,4.0,4.0
drumstel,5.0,6.0,8.0,4.0,15.0,3.0,5.0,20.0,5.0,1.0,8.0,7.0,2.0,7.0,7.0,6.0,4.0,4.0,5.0,11.0,8.0,11.0,5.0,7.0,17.0,12.0,4.0
dwarsfluit,12.0,4.0,3.0,4.0,1.0,8.0,4.0,5.0,20.0,14.0,19.0,6.0,9.0,12.0,8.0,15.0,7.0,15.0,10.0,4.0,12.0,8.0,6.0,11.0,6.0,9.0,4.0
fagot,3.0,12.0,6.0,1.0,7.0,6.0,4.0,1.0,14.0,20.0,15.0,5.0,12.0,16.0,2.0,2.0,15.0,13.0,8.0,13.0,4.0,4.0,7.0,14.0,6.0,13.0,6.0
fluit,10.0,15.0,7.0,7.0,4.0,9.0,5.0,8.0,19.0,15.0,20.0,6.0,7.0,14.0,5.0,11.0,6.0,15.0,8.0,14.0,4.0,11.0,5.0,9.0,4.0,14.0,2.0
gitaar,13.0,19.0,19.0,6.0,7.0,10.0,6.0,7.0,6.0,5.0,6.0,20.0,4.0,6.0,3.0,4.0,5.0,6.0,6.0,5.0,10.0,5.0,7.0,6.0,4.0,5.0,5.0
harp,5.0,7.0,5.0,13.0,5.0,13.0,4.0,2.0,9.0,12.0,7.0,4.0,20.0,6.0,5.0,6.0,8.0,8.0,5.0,5.0,1.0,5.0,2.0,2.0,7.0,7.0,11.0
klarinet,8.0,6.0,8.0,8.0,15.0,1.0,6.0,7.0,12.0,16.0,14.0,6.0,6.0,20.0,5.0,11.0,4.0,13.0,7.0,1.0,5.0,14.0,5.0,14.0,10.0,11.0,5.0
klavecimbel,10.0,3.0,8.0,14.0,15.0,6.0,6.0,7.0,8.0,2.0,5.0,3.0,5.0,5.0,20.0,6.0,5.0,10.0,19.0,8.0,4.0,10.0,3.0,7.0,6.0,7.0,14.0
mondharmonica,13.0,4.0,4.0,1.0,12.0,6.0,9.0,6.0,15.0,2.0,11.0,4.0,6.0,11.0,6.0,20.0,10.0,16.0,1.0,12.0,10.0,19.0,14.0,9.0,5.0,14.0,4.0
orgel,7.0,6.0,1.0,4.0,4.0,8.0,7.0,4.0,7.0,15.0,6.0,5.0,8.0,4.0,5.0,10.0,20.0,6.0,16.0,5.0,7.0,1.0,2.0,1.0,8.0,5.0,3.0
panfluit,13.0,14.0,7.0,10.0,11.0,4.0,6.0,4.0,15.0,13.0,15.0,6.0,8.0,13.0,10.0,16.0,6.0,20.0,6.0,11.0,8.0,8.0,4.0,15.0,9.0,9.0,6.0
piano,4.0,4.0,4.0,8.0,3.0,5.0,3.0,5.0,10.0,8.0,8.0,6.0,5.0,7.0,19.0,1.0,16.0,6.0,20.0,4.0,19.0,6.0,4.0,7.0,7.0,7.0,3.0
