exemplar,accordeon,banjo,basgitaar,cello,cimbalen,contrabas,doedelzak,drumstel,dwarsfluit,fagot,fluit,gitaar,harp,klarinet,klavecimbel,mondharmonica,orgel,panfluit,piano,saxofoon,synthesizer,tamboerijn,triangel,trombone,trommel,trompet,viool
accordeon,20.0,15.0,15.0,15.0,14.0,15.0,16.0,15.0,15.0,15.0,14.0,16.0,15.0,15.0,17.0,17.0,16.0,15.0,15.0,15.0,16.0,15.0,15.0,15.0,15.0,15.0,14.0
banjo,15.0,20.0,16.0,17.0,14.0,16.0,16.0,15.0,14.0,15.0,15.0,16.0,16.0,14.0,14.0,15.0,14.0,15.0,15.0,14.0,15.0,14.0,15.0,14.0,14.0,14.0,17.0
basgitaar,15.0,16.0,20.0,17.0,14.0,16.0,16.0,14.0,15.0,15.0,14.0,19.0,17.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,14.0,15.0,13.0,14.0,17.0
cello,15.0,17.0,17.0,20.0,15.0,18.0,15.0,14.0,14.0,14.0,14.0,17.0,16.0,15.0,15.0,15.0,15.0,14.0,14.0,15.0,15.0,14.0,15.0,15.0,15.0,15.0,17.0
cimbalen,14.0,14.0,14.0,15.0,20.0,14.0,14.0,15.0,15.0,15.0,15.0,15.0,14.0,15.0,15.0,14.0,14.0,15.0,15.0,14.0,14.0,17.0,16.0,14.0,17.0,14.0,15.0
contrabas,15.0,16.0,16.0,18.0,14.0,20.0,16.0,15.0,14.0,15.0,15.0,17.0,16.0,15.0,15.0,14.0,15.0,15.0,15.0,15.0,15.0,14.0,15.0,14.0,14.0,14.0,18.0
doedelzak,16.0,16.0,16.0,15.0,14.0,16.0,20.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,14.0,15.0,16.0,15.0,14.0,14.0,15.0,14.0,15.0,14.0,14.0,14.0
drumstel,15.0,15.0,14.0,14.0,15.0,15.0,15.0,20.0,14.0,14.0,14.0,15.0,15.0,15.0,16.0,15.0,14.0,14.0,15.0,15.0,15.0,16.0,15.0,15.0,18.0,15.0,14.0
dwarsfluit,15.0,14.0,15.0,14.0,15.0,14.0,15.0,14.0,20.0,17.0,18.0,15.0,14.0,17.0,15.0,16.0,15.0,19.0,15.0,16.0,15.0,15.0,15.0,16.0,15.0,16.0,16.0
fagot,15.0,15.0,15.0,14.0,15.0,15.0,15.0,14.0,17.0,20.0,17.0,14.0,15.0,18.0,14.0,15.0,14.0,17.0,15.0,15.0,13.0,15.0,14.0,17.0,15.0,17.0,15.0
fluit,14.0,15.0,14.0,14.0,15.0,15.0,15.0,14.0,18.0,17.0,20.0,14.0,15.0,16.0,14.0,14.0,15.0,18.0,15.0,17.0,15.0,15.0,15.0,16.0,15.0,17.0,14.0
gitaar,16.0,16.0,19.0,17.0,15.0,17.0,15.0,15.0,15.0,14.0,14.0,20.0,17.0,14.0,14.0,15.0,15.0,14.0,14.0,14.0,16.0,15.0,15.0,14.0,14.0,15.0,17.0
harp,15.0,16.0,17.0,16.0,14.0,16.0,15.0,15.0,14.0,15.0,15.0,17.0,20.0,15.0,17.0,15.0,15.0,17.0,16.0,15.0,16.0,15.0,15.0,14.0,14.0,14.0,16.0
klarinet,15.0,14.0,14.0,15.0,15.0,15.0,15.0,15.0,17.0,18.0,16.0,14.0,15.0,20.0,15.0,15.0,14.0,16.0,15.0,18.0,15.0,15.0,15.0,16.0,14.0,18.0,14.0
klavecimbel,17.0,14.0,15.0,15.0,15.0,15.0,16.0,16.0,15.0,14.0,14.0,14.0,17.0,15.0,20.0,15.0,18.0,15.0,18.0,15.0,17.0,15.0,15.0,14.0,15.0,15.0,15.0
mondharmonica,17.0,15.0,15.0,15.0,14.0,14.0,14.0,15.0,16.0,15.0,14.0,15.0,15.0,15.0,15.0,20.0,16.0,17.0,17.0,16.0,16.0,15.0,15.0,17.0,14.0,15.0,15.0
orgel,16.0,14.0,15.0,15.0,14.0,15.0,15.0,14.0,15.0,14.0,15.0,15.0,15.0,14.0,18.0,16.0,20.0,14.0,17.0,15.0,18.0,15.0,14.0,14.0,15.0,15.0,15.0
panfluit,15.0,15.0,15.0,14.0,15.0,15.0,16.0,14.0,19.0,17.0,18.0,14.0,17.0,16.0,15.0,17.0,14.0,20.0,15.0,17.0,15.0,15.0,14.0,15.0,14.0,16.0,15.0
piano,15.0,15.0,15.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,14.0,16.0,15.0,18.0,17.0,17.0,15.0,20.0,15.0,18.0,15.0,13.0,15.0,15.0,14.0,15.0
saxofoon,15.0,14.0,15.0,15.0,14.0,15.0,14.0,15.0,16.0,15.0,17.0,14.0,15.0,18.0,15.0,16.0,15.0,17.0,15.0,20.0,15.0,16.0,15.0,18.0,15.0,18.0,15.0
synthesizer,16.0,15.0,15.0,15.0,14.0,15.0,14.0,15.0,15.0,13.0,15.0,16.0,16.0,15.0,17.0,16.0,18.0,15.0,18.0,15.0,20.0,14.0,15.0,15.0,15.0,15.0,15.0
tamboerijn,15.0,14.0,15.0,14.0,17.0,14.0,15.0,16.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,14.0,20.0,15.0,15.0,18.0,15.0,15.0
triangel,15.0,15.0,14.0,15.0,16.0,15.0,14.0,15.0,15.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,14.0,14.0,13.0,15.0,15.0,15.0,20.0,14.0,15.0,14.0,15.0
trombone,15.0,14.0,15.0,15.0,14.0,14.0,15.0,15.0,16.0,17.0,16.0,14.0,14.0,16.0,14.0,17.0,14.0,15.0,15.0,18.0,15.0,15.0,14.0,20.0,14.0,18.0,14.0
trommel,15.0,14.0,13.0,15.0,17.0,14.0,14.0,18.0,15.0,15.0,15.0,14.0,14.0,14.0,15.0,14.0,15.0,14.0,15.0,15.0,15.0,18.0,15.0,14.0,20.0,14.0,14.0
trompet,15.0,14.0,14.0,15.0,14.0,14.0,14.0,15.0,16.0,17.0,17.0,15.0,14.0,18.0,15.0,15.0,15.0,16.0,14.0,18.0,15.0,15.0,14.0,18.0,14.0,20.0,15.0
viool,14.0,17.0,17.0,17.0,15.0,18.0,14.0,14.0,16.0,15.0,14.0,17.0,16.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,14.0,14.0,15.0,20.0
