exemplar,accordeon,banjo,basgitaar,cello,cimbalen,contrabas,doedelzak,drumstel,dwarsfluit,fagot,fluit,gitaar,harp,klarinet,klavecimbel,mondharmonica,orgel,panfluit,piano,saxofoon,synthesizer,tamboerijn,triangel,trombone,trommel,trompet,viool
accordeon,20.0,2.0,5.0,14.0,1.0,4.0,16.0,2.0,4.0,3.0,6.0,4.0,5.0,5.0,11.0,18.0,17.0,4.0,13.0,11.0,5.0,1.0,3.0,10.0,3.0,5.0,4.0
banjo,2.0,20.0,18.0,14.0,3.0,13.0,3.0,4.0,3.0,4.0,2.0,18.0,9.0,4.0,6.0,2.0,3.0,11.0,4.0,2.0,2.0,3.0,2.0,3.0,4.0,4.0,14.0
basgitaar,5.0,18.0,20.0,12.0,1.0,16.0,2.0,3.0,2.0,5.0,5.0,19.0,7.0,2.0,6.0,5.0,4.0,2.0,3.0,4.0,2.0,2.0,2.0,4.0,3.0,4.0,15.0
cello,14.0,14.0,12.0,20.0,3.0,19.0,5.0,2.0,2.0,3.0,4.0,6.0,5.0,2.0,5.0,2.0,4.0,3.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,19.0
cimbalen,1.0,3.0,1.0,3.0,20.0,1.0,3.0,7.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,15.0,15.0,3.0,9.0,1.0,1.0
contrabas,4.0,13.0,16.0,19.0,1.0,20.0,4.0,2.0,2.0,3.0,2.0,16.0,4.0,4.0,6.0,1.0,4.0,2.0,3.0,5.0,6.0,2.0,2.0,3.0,2.0,2.0,18.0
doedelzak,16.0,3.0,2.0,5.0,3.0,4.0,20.0,2.0,5.0,6.0,10.0,2.0,4.0,6.0,2.0,16.0,13.0,5.0,4.0,8.0,3.0,2.0,1.0,15.0,4.0,6.0,3.0
drumstel,2.0,4.0,3.0,2.0,7.0,2.0,2.0,20.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,4.0,2.0,2.0,16.0,15.0,3.0,18.0,3.0,2.0
dwarsfluit,4.0,3.0,2.0,2.0,2.0,2.0,5.0,3.0,20.0,12.0,12.0,2.0,2.0,13.0,2.0,6.0,8.0,6.0,2.0,6.0,5.0,2.0,1.0,13.0,5.0,7.0,2.0
fagot,3.0,4.0,5.0,3.0,3.0,3.0,6.0,2.0,12.0,20.0,16.0,3.0,1.0,17.0,3.0,4.0,7.0,6.0,3.0,14.0,5.0,3.0,2.0,14.0,5.0,10.0,4.0
