exemplar,accordeon,banjo,basgitaar,cello,cimbalen,contrabas,doedelzak,drumstel,dwarsfluit,fagot,fluit,gitaar,harp,klarinet,klavecimbel,mondharmonica,orgel,panfluit,piano,saxofoon,synthesizer,tamboerijn,triangel,trombone,trommel,trompet,viool
accordeon,20.0,7.0,4.0,4.0,4.0,7.0,12.0,8.0,11.0,4.0,9.0,7.0,11.0,9.0,7.0,3.0,12.0,8.0,13.0,12.0,12.0,4.0,6.0,7.0,4.0,11.0,4.0
banjo,7.0,20.0,14.0,15.0,8.0,11.0,12.0,9.0,6.0,14.0,7.0,19.0,11.0,5.0,4.0,4.0,6.0,6.0,7.0,6.0,7.0,2.0,3.0,4.0,4.0,6.0,15.0
basgitaar,4.0,14.0,20.0,15.0,8.0,16.0,7.0,8.0,7.0,4.0,3.0,19.0,13.0,5.0,6.0,6.0,6.0,5.0,6.0,8.0,4.0,4.0,4.0,4.0,8.0,9.0,14.0
cello,4.0,15.0,15.0,20.0,6.0,19.0,5.0,9.0,6.0,4.0,4.0,4.0,9.0,7.0,9.0,5.0,4.0,3.0,5.0,6.0,8.0,4.0,6.0,4.0,6.0,8.0,14.0
cimbalen,4.0,8.0,8.0,6.0,20.0,9.0,4.0,19.0,4.0,4.0,4.0,5.0,7.0,5.0,4.0,9.0,4.0,3.0,2.0,3.0,4.0,14.0,16.0,4.0,15.0,2.0,4.0
contrabas,7.0,11.0,16.0,19.0,9.0,20.0,5.0,4.0,3.0,9.0,5.0,13.0,6.0,6.0,8.0,7.0,5.0,4.0,9.0,4.0,6.0,5.0,5.0,6.0,8.0,4.0,15.0
doedelzak,12.0,12.0,7.0,5.0,4.0,5.0,20.0,6.0,11.0,14.0,14.0,10.0,8.0,16.0,9.0,3.0,10.0,13.0,16.0,14.0,3.0,10.0,3.0,13.0,4.0,16.0,6.0
drumstel,8.0,9.0,8.0,9.0,19.0,4.0,6.0,20.0,6.0,4.0,5.0,9.0,4.0,3.0,10.0,2.0,3.0,3.0,5.0,4.0,4.0,16.0,11.0,7.0,18.0,4.0,6.0
dwarsfluit,11.0,6.0,7.0,6.0,4.0,3.0,11.0,6.0,20.0,14.0,18.0,4.0,4.0,19.0,9.0,13.0,4.0,18.0,5.0,19.0,6.0,3.0,5.0,17.0,8.0,16.0,9.0
fagot,4.0,14.0,4.0,4.0,4.0,9.0,14.0,4.0,14.0,20.0,17.0,4.0,5.0,15.0,6.0,9.0,4.0,11.0,4.0,16.0,5.0,7.0,4.0,13.0,7.0,16.0,6.0
