exemplar,accordeon,banjo,basgitaar,cello,cimbalen,contrabas,doedelzak,drumstel,dwarsfluit,fagot,fluit,gitaar,harp,klarinet,klavecimbel,mondharmonica,orgel,panfluit,piano,saxofoon,synthesizer,tamboerijn,triangel,trombone,trommel,trompet,viool
accordeon,20.0,7.0,5.0,6.0,5.0,7.0,4.0,3.0,5.0,5.0,6.0,6.0,8.0,4.0,6.0,6.0,7.0,6.0,6.0,5.0,5.0,6.0,5.0,7.0,5.0,4.0,5.0
banjo,7.0,20.0,13.0,8.0,6.0,6.0,5.0,7.0,6.0,6.0,6.0,12.0,4.0,6.0,7.0,3.0,5.0,6.0,5.0,4.0,5.0,7.0,7.0,5.0,4.0,6.0,4.0
basgitaar,5.0,13.0,20.0,8.0,5.0,8.0,4.0,4.0,4.0,5.0,5.0,17.0,8.0,5.0,4.0,6.0,6.0,7.0,5.0,6.0,5.0,5.0,6.0,5.0,3.0,4.0,5.0
cello,6.0,8.0,8.0,20.0,7.0,9.0,3.0,5.0,4.0,5.0,5.0,7.0,8.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,5.0,6.0,8.0,4.0,6.0,7.0
cimbalen,5.0,6.0,5.0,7.0,20.0,4.0,6.0,15.0,4.0,5.0,4.0,4.0,8.0,5.0,5.0,4.0,6.0,7.0,5.0,5.0,7.0,10.0,9.0,6.0,6.0,6.0,7.0
contrabas,7.0,6.0,8.0,9.0,4.0,20.0,7.0,6.0,7.0,5.0,3.0,8.0,9.0,4.0,6.0,5.0,6.0,5.0,5.0,5.0,7.0,6.0,7.0,8.0,4.0,7.0,11.0
doedelzak,4.0,5.0,4.0,3.0,6.0,7.0,20.0,5.0,9.0,6.0,11.0,4.0,7.0,9.0,5.0,5.0,6.0,6.0,6.0,7.0,7.0,3.0,8.0,6.0,5.0,7.0,6.0
drumstel,3.0,7.0,4.0,5.0,15.0,6.0,5.0,20.0,3.0,5.0,6.0,4.0,6.0,5.0,14.0,3.0,4.0,6.0,4.0,5.0,5.0,9.0,6.0,6.0,4.0,4.0,5.0
dwarsfluit,5.0,6.0,4.0,4.0,4.0,7.0,9.0,3.0,20.0,7.0,13.0,6.0,5.0,9.0,6.0,9.0,7.0,13.0,5.0,7.0,5.0,3.0,7.0,6.0,6.0,14.0,4.0
fagot,5.0,6.0,5.0,5.0,5.0,5.0,6.0,5.0,7.0,20.0,13.0,6.0,6.0,9.0,6.0,6.0,5.0,9.0,5.0,9.0,6.0,5.0,6.0,4.0,5.0,9.0,7.0
fluit,6.0,6.0,5.0,5.0,4.0,3.0,11.0,6.0,13.0,13.0,20.0,5.0,5.0,7.0,5.0,6.0,5.0,12.0,6.0,8.0,7.0,6.0,6.0,11.0,5.0,14.0,6.0
gitaar,6.0,12.0,17.0,7.0,4.0,8.0,4.0,4.0,6.0,6.0,5.0,20.0,8.0,5.0,7.0,4.0,7.0,6.0,6.0,7.0,6.0,6.0,5.0,5.0,4.0,4.0,8.0
harp,8.0,4.0,8.0,8.0,8.0,9.0,7.0,6.0,5.0,6.0,5.0,8.0,20.0,9.0,7.0,4.0,7.0,6.0,7.0,6.0,8.0,6.0,4.0,5.0,6.0,5.0,9.0
klarinet,4.0,6.0,5.0,5.0,5.0,4.0,9.0,5.0,9.0,9.0,7.0,5.0,9.0,20.0,7.0,5.0,7.0,7.0,7.0,7.0,5.0,8.0,7.0,9.0,6.0,9.0,6.0
klavecimbel,6.0,7.0,4.0,6.0,5.0,6.0,5.0,14.0,6.0,6.0,5.0,7.0,7.0,7.0,20.0,7.0,7.0,8.0,5.0,6.0,9.0,6.0,6.0,8.0,7.0,4.0,5.0
mondharmonica,6.0,3.0,6.0,6.0,4.0,5.0,5.0,3.0,9.0,6.0,6.0,4.0,4.0,5.0,7.0,20.0,6.0,6.0,3.0,8.0,4.0,7.0,6.0,7.0,4.0,6.0,5.0
orgel,7.0,5.0,6.0,5.0,6.0,6.0,6.0,4.0,7.0,5.0,5.0,7.0,7.0,7.0,7.0,6.0,20.0,4.0,8.0,8.0,9.0,6.0,5.0,9.0,5.0,5.0,6.0
panfluit,6.0,6.0,7.0,5.0,7.0,5.0,6.0,6.0,13.0,9.0,12.0,6.0,6.0,7.0,8.0,6.0,4.0,20.0,6.0,6.0,6.0,5.0,5.0,7.0,6.0,8.0,7.0
piano,6.0,5.0,5.0,5.0,5.0,5.0,6.0,4.0,5.0,5.0,6.0,6.0,7.0,7.0,5.0,3.0,8.0,6.0,20.0,6.0,16.0,5.0,6.0,5.0,6.0,6.0,5.0
saxofoon,5.0,4.0,6.0,5.0,5.0,5.0,7.0,5.0,7.0,9.0,8.0,7.0,6.0,7.0,6.0,8.0,8.0,6.0,6.0,20.0,7.0,6.0,6.0,6.0,5.0,12.0,13.0
synthesizer,5.0,5.0,5.0,6.0,7.0,7.0,7.0,5.0,5.0,6.0,7.0,6.0,8.0,5.0,9.0,4.0,9.0,6.0,16.0,7.0,20.0,5.0,6.0,6.0,6.0,5.0,5.0
tamboerijn,6.0,7.0,5.0,5.0,10.0,6.0,3.0,9.0,3.0,5.0,6.0,6.0,6.0,8.0,6.0,7.0,6.0,5.0,5.0,6.0,5.0,20.0,8.0,8.0,8.0,5.0,6.0
