exemplar,accordeon,banjo,basgitaar,cello,cimbalen,contrabas,doedelzak,drumstel,dwarsfluit,fagot,fluit,gitaar,harp,klarinet,klavecimbel,mondharmonica,orgel,panfluit,piano,saxofoon,synthesizer,tamboerijn,triangel,trombone,trommel,trompet,viool
accordeon,20.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0
banjo,1.0,20.0,,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
basgitaar,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,
cello,1.0,4.0,,20.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cimbalen,1.0,1.0,,1.0,20.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
contrabas,1.0,1.0,,5.0,1.0,20.0,1.0,4.0,1.0,1.0,17.0,2.0,1.0,10.0,,1.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,3.0,1.0,5.0,1.0
doedelzak,1.0,1.0,,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
drumstel,1.0,1.0,,1.0,10.0,4.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,18.0,1.0,1.0
dwarsfluit,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,20.0,10.0,17.0,1.0,1.0,10.0,,2.0,1.0,18.0,1.0,10.0,1.0,1.0,1.0,4.0,1.0,4.0,15.0
fagot,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,10.0,20.0,18.0,1.0,1.0,16.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,18.0,1.0,15.0,1.0
fluit,1.0,1.0,,1.0,1.0,17.0,1.0,1.0,17.0,18.0,20.0,1.0,1.0,15.0,,1.0,1.0,19.0,1.0,1.0,1.0,1.0,1.0,15.0,1.0,1.0,1.0
gitaar,1.0,20.0,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0
harp,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
klarinet,1.0,1.0,,1.0,1.0,10.0,1.0,1.0,10.0,16.0,15.0,1.0,1.0,20.0,,1.0,1.0,11.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,15.0,1.0
klavecimbel,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,
mondharmonica,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
orgel,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
panfluit,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,18.0,1.0,19.0,1.0,1.0,11.0,,1.0,1.0,20.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
piano,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,20.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0
saxofoon,1.0,1.0,,18.0,1.0,8.0,1.0,1.0,10.0,1.0,1.0,3.0,1.0,4.0,,1.0,1.0,10.0,1.0,20.0,1.0,1.0,1.0,17.0,1.0,16.0,1.0
synthesizer,1.0,1.0,,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,20.0,1.0,20.0,1.0,1.0,1.0,10.0,1.0,1.0
tamboerijn,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0
triangel,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0
trombone,1.0,1.0,,1.0,1.0,3.0,1.0,1.0,4.0,18.0,15.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,17.0,1.0,1.0,1.0,20.0,1.0,12.0,1.0
trommel,3.0,1.0,,1.0,1.0,1.0,1.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,20.0,1.0,1.0
