exemplar,% known,age of acquisition
adder,94.94,8.88
alligator,97.61,8.0
boa,97.61,11.0
cobra,94.9,10.0
dinosaurus,98.12,6.0
gekko,80.26,13.0
hagedis,98.67,7.0
hazelworm,81.0,8.0
kaaiman,92.86,10.0
kameleon,98.68,9.0
kikker,99.19,5.0
krokodil,99.73,5.0
leguaan,96.59,11.0
pad,99.42,5.0
python,93.22,11.0
salamander,98.1,8.0
schildpad,100.0,6.0
slang,99.45,4.0
varaan,86.21,10.0
waterschildpad,93.13,7.0
