exemplar,% known,age of acquisition
beha,98.69,8.42
bloes,97.89,6.96
broek,98.69,4.29
das,99.21,6.58
hemd,98.7,5.5
hoed,98.7,5.0
jas,99.22,3.75
jeans,98.43,7.04
jogging,99.22,8.75
kleed,97.93,5.33
kostuum,99.73,7.48
laarzen,98.94,5.38
muts,99.2,4.46
pet,99.42,5.21
pyjama,99.47,4.38
riem,97.61,7.22
rok,100.0,5.13
salopet,94.88,7.92
schoenen,99.73,4.13
short,98.16,6.21
sjaal,99.73,4.92
slip,98.43,7.04
sokken,98.96,4.96
sweater,98.95,8.5
t-shirt,97.17,9.25
topje,98.66,4.58
trui,99.73,4.91
wanten,99.2,5.83
zwempak,99.22,5.29
