exemplar,% known,age of acquisition
blikopener,97.83,7.88
bord,98.92,4.63
broodrooster,98.91,7.96
fles,99.57,4.39
fornuis,99.73,7.63
frigo,99.19,6.42
glas,97.9,5.17
handdoek,99.71,5.63
ketel,98.39,6.92
klopper,96.88,8.13
koffiezet,98.1,6.05
kom,95.84,5.42
lepel,99.45,4.33
mes,98.38,4.67
microgolf,98.8,7.7
mixer,98.38,8.75
notenkraker,97.61,7.87
onderlegger,98.99,8.5
oven,99.73,5.7
pan,100.0,4.92
pot,99.14,
rasp,97.08,8.83
schaar,97.88,5.29
schort,99.14,6.58
spatel,91.0,9.78
tas,97.35,4.88
theelepel,98.71,7.09
vergiet,93.08,8.83
vork,98.08,4.17
waterkoker,99.18,10.25
weegschaal,97.61,6.96
wok,98.12,13.46
zeef,100.0,7.54
