exemplar,% known,age of acquisition
bij,98.44,5.08
bloedzuiger,98.7,10.38
daas,91.4,10.11
duizendpoot,97.66,7.25
fruitvlieg,93.56,11.71
hommel,99.74,8.65
kakkerlak,98.97,8.52
kever,98.96,6.33
krekel,97.9,7.87
libel,98.68,8.05
lieveheersbeestje,99.74,6.04
luis,98.97,6.91
meikever,98.47,7.96
mier,98.46,4.88
mot,97.22,7.91
mug,99.74,5.42
oorworm,92.56,9.5
pissebed,97.67,8.46
rups,97.19,6.29
spin,98.69,4.92
sprinkhaan,98.45,6.87
vlieg,98.96,4.7
vlinder,99.74,5.58
vlo,97.67,6.87
wesp,100.0,5.92
worm,98.46,5.63
