exemplar,% known,age of acquisition
aalbes,90.0,10.94
aardbei,100.0,5.39
abrikoos,100.0,7.09
ananas,100.0,6.63
appel,100.0,4.0
banaan,100.0,4.46
bosbes,100.0,7.79
braambessen,100.0,6.75
citroen,100.0,5.0
clementine,100.0,8.75
dadels,95.83,9.52
druif,100.0,5.29
framboos,100.0,7.0
kers,100.0,5.78
kiwi,100.0,6.04
kokosnoot,100.0,7.17
limoen,100.0,9.54
lychee,95.0,11.68
mango,100.0,10.88
meloen,100.0,7.08
nectarine,100.0,8.71
papaya,100.0,12.4
passievrucht,100.0,11.21
peer,100.0,4.75
perzik,100.0,6.67
pompelmoes,100.0,8.13
pompoen,100.0,7.38
pruim,95.65,6.27
sinaasappel,100.0,4.92
vijg,100.0,8.35
