exemplar,% known,age of acquisition
aardappel,100.0,4.7
ajuin,100.0,6.5
asperges,95.83,7.61
aubergine,100.0,11.21
augurken,100.0,7.3
biet,100.0,8.17
bloemkool,100.0,6.35
bonen,100.0,5.71
champignons,100.0,6.79
courgette,100.0,10.5
erwten,100.0,5.71
kervel,100.0,9.54
komkommer,100.0,7.21
look,100.0,9.42
maïs,100.0,7.25
paprika,100.0,8.08
peterselie,100.0,7.58
prei,100.0,6.58
radijs,100.0,7.13
rode kool,100.0,5.4
schorseneren,100.0,9.61
selder,100.0,7.63
sla,100.0,5.67
spinazie,100.0,5.92
spruiten,100.0,5.83
tomaat,100.0,4.96
waterkers,100.0,7.95
witloof,100.0,6.46
witte kool,100.0,7.05
wortel,100.0,4.91
