exemplar,badminton,ballet,baseball,basketball,billiards,boxing,chess,cycling,fencing,golfing,gymnastics,handball,horseback riding,ice hockey,judo,long jump,rugby,running,sailing,shot-put,skiing,soccer,sport fishing,squash,surfing,swimming,table tennis,tennis,volleyball,walking
badminton,20.0,4.0,7.0,7.0,4.0,7.0,2.0,1.0,6.0,7.0,4.0,6.0,2.0,4.0,4.0,4.0,7.0,6.0,1.0,8.0,1.0,6.0,1.0,16.0,4.0,1.0,13.0,17.0,12.0,8.0
ballet,4.0,20.0,7.0,4.0,4.0,10.0,2.0,2.0,1.0,5.0,16.0,6.0,6.0,2.0,9.0,11.0,6.0,6.0,3.0,1.0,7.0,5.0,3.0,1.0,11.0,12.0,1.0,4.0,10.0,10.0
baseball,7.0,7.0,20.0,8.0,8.0,7.0,1.0,2.0,4.0,16.0,12.0,12.0,3.0,4.0,2.0,3.0,16.0,4.0,3.0,15.0,1.0,10.0,1.0,13.0,5.0,1.0,7.0,3.0,5.0,4.0
basketball,7.0,4.0,8.0,20.0,9.0,10.0,4.0,4.0,4.0,4.0,4.0,15.0,4.0,8.0,1.0,3.0,7.0,7.0,4.0,13.0,1.0,8.0,1.0,10.0,4.0,1.0,6.0,4.0,10.0,2.0
billiards,4.0,4.0,8.0,9.0,20.0,8.0,6.0,1.0,3.0,15.0,4.0,8.0,5.0,10.0,1.0,3.0,4.0,1.0,1.0,6.0,2.0,8.0,6.0,9.0,4.0,3.0,8.0,6.0,5.0,7.0
boxing,7.0,10.0,7.0,10.0,8.0,20.0,1.0,2.0,14.0,6.0,2.0,3.0,3.0,3.0,13.0,6.0,12.0,1.0,1.0,12.0,1.0,2.0,2.0,6.0,2.0,2.0,4.0,6.0,11.0,8.0
chess,2.0,2.0,1.0,4.0,6.0,1.0,20.0,1.0,6.0,2.0,1.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,5.0,2.0,2.0,2.0,6.0
cycling,1.0,2.0,2.0,4.0,1.0,2.0,1.0,20.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,5.0,7.0,14.0,3.0,1.0,11.0,3.0,1.0,3.0,4.0,1.0,1.0,1.0,6.0,9.0
fencing,6.0,1.0,4.0,4.0,3.0,14.0,6.0,1.0,20.0,3.0,10.0,4.0,2.0,12.0,10.0,6.0,5.0,2.0,12.0,4.0,1.0,4.0,2.0,5.0,12.0,3.0,1.0,9.0,3.0,4.0
golfing,7.0,5.0,16.0,4.0,15.0,6.0,2.0,1.0,3.0,20.0,10.0,3.0,3.0,16.0,1.0,5.0,6.0,2.0,4.0,9.0,3.0,11.0,3.0,10.0,1.0,4.0,10.0,5.0,3.0,13.0
