exemplar,badminton,ballet,baseball,basketball,billiards,boxing,chess,cycling,fencing,golfing,gymnastics,handball,horseback riding,ice hockey,judo,long jump,rugby,running,sailing,shot-put,skiing,soccer,sport fishing,squash,surfing,swimming,table tennis,tennis,volleyball,walking
badminton,20.0,6.0,13.0,12.0,8.0,11.0,8.0,8.0,11.0,8.0,3.0,15.0,11.0,11.0,11.0,5.0,5.0,8.0,11.0,8.0,7.0,11.0,8.0,18.0,8.0,9.0,17.0,19.0,14.0,9.0
ballet,6.0,20.0,4.0,3.0,8.0,4.0,13.0,6.0,11.0,5.0,16.0,9.0,14.0,4.0,4.0,8.0,2.0,5.0,3.0,4.0,7.0,8.0,5.0,5.0,4.0,8.0,7.0,5.0,4.0,5.0
baseball,13.0,4.0,20.0,16.0,7.0,8.0,11.0,9.0,7.0,8.0,10.0,11.0,4.0,11.0,6.0,6.0,17.0,16.0,7.0,9.0,8.0,16.0,2.0,9.0,8.0,7.0,8.0,14.0,17.0,5.0
basketball,12.0,3.0,16.0,20.0,7.0,11.0,3.0,11.0,4.0,8.0,8.0,17.0,6.0,17.0,4.0,7.0,9.0,15.0,4.0,16.0,7.0,17.0,2.0,8.0,12.0,9.0,3.0,14.0,17.0,8.0
billiards,8.0,8.0,7.0,7.0,20.0,12.0,12.0,8.0,11.0,14.0,7.0,4.0,2.0,6.0,8.0,8.0,3.0,2.0,7.0,12.0,7.0,11.0,11.0,6.0,7.0,7.0,12.0,7.0,4.0,8.0
boxing,11.0,4.0,8.0,11.0,12.0,20.0,11.0,9.0,15.0,8.0,8.0,11.0,8.0,8.0,8.0,4.0,14.0,12.0,8.0,7.0,8.0,9.0,7.0,13.0,10.0,10.0,10.0,13.0,4.0,12.0
chess,8.0,13.0,11.0,3.0,12.0,11.0,20.0,9.0,12.0,8.0,4.0,7.0,12.0,2.0,6.0,2.0,7.0,6.0,6.0,2.0,2.0,6.0,14.0,2.0,6.0,3.0,4.0,11.0,12.0,14.0
cycling,8.0,6.0,9.0,11.0,8.0,9.0,9.0,20.0,8.0,8.0,13.0,12.0,6.0,11.0,6.0,11.0,9.0,14.0,7.0,7.0,7.0,10.0,7.0,8.0,7.0,10.0,9.0,4.0,12.0,11.0
fencing,11.0,11.0,7.0,4.0,11.0,15.0,12.0,8.0,20.0,5.0,8.0,4.0,4.0,6.0,8.0,9.0,6.0,11.0,2.0,4.0,4.0,4.0,7.0,13.0,5.0,5.0,12.0,11.0,9.0,8.0
golfing,8.0,5.0,8.0,8.0,14.0,8.0,8.0,8.0,5.0,20.0,6.0,10.0,8.0,17.0,8.0,12.0,8.0,4.0,9.0,7.0,7.0,4.0,9.0,11.0,12.0,2.0,12.0,11.0,6.0,15.0
gymnastics,3.0,16.0,10.0,8.0,7.0,8.0,4.0,13.0,8.0,6.0,20.0,7.0,8.0,8.0,12.0,16.0,4.0,17.0,4.0,11.0,4.0,12.0,8.0,8.0,8.0,13.0,7.0,13.0,4.0,13.0
handball,15.0,9.0,11.0,17.0,4.0,11.0,7.0,12.0,4.0,10.0,7.0,20.0,10.0,13.0,6.0,8.0,13.0,9.0,5.0,4.0,8.0,19.0,7.0,8.0,4.0,8.0,9.0,14.0,19.0,11.0
horseback riding,11.0,14.0,4.0,6.0,2.0,8.0,12.0,6.0,4.0,8.0,8.0,10.0,20.0,5.0,8.0,4.0,4.0,18.0,7.0,8.0,11.0,6.0,12.0,3.0,4.0,8.0,7.0,4.0,4.0,15.0
ice hockey,11.0,4.0,11.0,17.0,6.0,8.0,2.0,11.0,6.0,17.0,8.0,13.0,5.0,20.0,7.0,8.0,17.0,14.0,3.0,3.0,15.0,17.0,6.0,4.0,15.0,4.0,9.0,9.0,12.0,4.0
judo,11.0,4.0,6.0,4.0,8.0,8.0,6.0,6.0,8.0,8.0,12.0,6.0,8.0,7.0,20.0,10.0,9.0,3.0,10.0,7.0,6.0,4.0,7.0,12.0,8.0,4.0,11.0,9.0,8.0,4.0
long jump,5.0,8.0,6.0,7.0,8.0,4.0,2.0,11.0,9.0,12.0,16.0,8.0,4.0,8.0,10.0,20.0,4.0,16.0,9.0,13.0,6.0,5.0,11.0,12.0,8.0,6.0,9.0,8.0,7.0,14.0
rugby,5.0,2.0,17.0,9.0,3.0,14.0,7.0,9.0,6.0,8.0,4.0,13.0,4.0,17.0,9.0,4.0,20.0,13.0,7.0,11.0,4.0,15.0,7.0,5.0,5.0,3.0,7.0,8.0,13.0,7.0
running,8.0,5.0,16.0,15.0,2.0,12.0,6.0,14.0,11.0,4.0,17.0,9.0,18.0,14.0,3.0,16.0,13.0,20.0,4.0,11.0,5.0,17.0,7.0,8.0,12.0,13.0,17.0,11.0,11.0,19.0
sailing,11.0,3.0,7.0,4.0,7.0,8.0,6.0,7.0,2.0,9.0,4.0,5.0,7.0,3.0,10.0,9.0,7.0,4.0,20.0,4.0,5.0,6.0,15.0,6.0,18.0,18.0,8.0,12.0,8.0,11.0
shot-put,8.0,4.0,9.0,16.0,12.0,7.0,2.0,7.0,4.0,7.0,11.0,4.0,8.0,3.0,7.0,13.0,11.0,11.0,4.0,20.0,4.0,11.0,4.0,6.0,9.0,7.0,8.0,9.0,4.0,7.0
