exemplar,badminton,ballet,baseball,basketball,billiards,boxing,chess,cycling,fencing,golfing,gymnastics,handball,horseback riding,ice hockey,judo,long jump,rugby,running,sailing,shot-put,skiing,soccer,sport fishing,squash,surfing,swimming,table tennis,tennis,volleyball,walking
badminton,20.0,2.0,2.0,4.0,5.0,2.0,3.0,3.0,7.0,2.0,4.0,6.0,13.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,3.0,2.0,2.0,8.0,2.0,2.0,10.0,16.0,13.0,2.0
ballet,2.0,20.0,2.0,3.0,2.0,6.0,10.0,8.0,6.0,2.0,16.0,2.0,9.0,2.0,4.0,2.0,2.0,2.0,12.0,2.0,2.0,2.0,11.0,2.0,2.0,4.0,3.0,4.0,3.0,6.0
baseball,2.0,2.0,20.0,5.0,4.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,10.0,2.0,13.0,2.0,2.0,2.0,2.0,12.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,2.0
basketball,4.0,3.0,5.0,20.0,2.0,11.0,1.0,2.0,2.0,2.0,2.0,8.0,2.0,2.0,2.0,2.0,10.0,5.0,1.0,2.0,2.0,6.0,3.0,8.0,2.0,2.0,2.0,4.0,6.0,10.0
billiards,5.0,2.0,4.0,2.0,20.0,2.0,1.0,4.0,3.0,10.0,2.0,3.0,3.0,9.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,6.0,4.0,2.0,11.0,10.0,2.0,2.0,2.0
boxing,2.0,6.0,2.0,11.0,2.0,20.0,1.0,1.0,10.0,2.0,6.0,2.0,2.0,2.0,5.0,2.0,8.0,2.0,1.0,2.0,2.0,2.0,12.0,2.0,2.0,1.0,4.0,3.0,2.0,7.0
chess,3.0,10.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,4.0,1.0,6.0,1.0,3.0
cycling,3.0,8.0,2.0,2.0,4.0,1.0,1.0,20.0,2.0,2.0,2.0,2.0,2.0,9.0,4.0,2.0,2.0,6.0,2.0,2.0,7.0,2.0,3.0,2.0,2.0,19.0,2.0,2.0,2.0,3.0
fencing,7.0,6.0,2.0,2.0,3.0,10.0,1.0,2.0,20.0,2.0,9.0,11.0,2.0,2.0,2.0,4.0,11.0,2.0,10.0,3.0,2.0,2.0,4.0,4.0,2.0,1.0,8.0,2.0,2.0,4.0
golfing,2.0,2.0,2.0,2.0,10.0,2.0,10.0,2.0,2.0,20.0,2.0,2.0,2.0,8.0,2.0,2.0,2.0,10.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,6.0,2.0,2.0,6.0
