exemplar,badminton,ballet,baseball,basketball,billiards,boxing,chess,cycling,fencing,golfing,gymnastics,handball,horseback riding,ice hockey,judo,long jump,rugby,running,sailing,shot-put,skiing,soccer,sport fishing,squash,surfing,swimming,table tennis,tennis,volleyball,walking
badminton,20.0,4.0,5.0,6.0,2.0,4.0,4.0,4.0,9.0,3.0,5.0,3.0,4.0,4.0,5.0,5.0,3.0,6.0,5.0,4.0,5.0,3.0,3.0,15.0,6.0,4.0,14.0,16.0,7.0,5.0
ballet,4.0,20.0,3.0,6.0,5.0,2.0,3.0,3.0,8.0,4.0,14.0,4.0,3.0,4.0,9.0,6.0,3.0,7.0,4.0,4.0,3.0,11.0,3.0,3.0,8.0,6.0,5.0,6.0,4.0,7.0
baseball,5.0,3.0,20.0,6.0,3.0,6.0,2.0,4.0,6.0,3.0,4.0,12.0,5.0,11.0,6.0,8.0,15.0,9.0,5.0,4.0,5.0,10.0,2.0,5.0,5.0,3.0,4.0,13.0,4.0,4.0
basketball,6.0,6.0,6.0,20.0,2.0,6.0,2.0,5.0,4.0,3.0,5.0,16.0,7.0,5.0,5.0,5.0,3.0,7.0,6.0,4.0,4.0,8.0,3.0,8.0,6.0,6.0,4.0,6.0,11.0,6.0
billiards,2.0,5.0,3.0,2.0,20.0,2.0,16.0,3.0,6.0,14.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,2.0,3.0,13.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0
boxing,4.0,2.0,6.0,6.0,2.0,20.0,2.0,5.0,6.0,3.0,6.0,6.0,5.0,5.0,6.0,5.0,11.0,6.0,4.0,5.0,6.0,4.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0
chess,4.0,3.0,2.0,2.0,16.0,2.0,20.0,4.0,3.0,7.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,12.0,3.0,2.0,2.0,4.0,2.0,2.0,4.0
cycling,4.0,3.0,4.0,5.0,3.0,5.0,4.0,20.0,3.0,2.0,4.0,5.0,4.0,4.0,5.0,7.0,4.0,5.0,5.0,5.0,4.0,11.0,2.0,4.0,5.0,5.0,6.0,5.0,5.0,8.0
fencing,9.0,8.0,6.0,4.0,6.0,6.0,3.0,3.0,20.0,5.0,6.0,6.0,6.0,4.0,7.0,4.0,4.0,10.0,4.0,7.0,5.0,4.0,7.0,7.0,5.0,4.0,9.0,9.0,5.0,5.0
golfing,3.0,4.0,3.0,3.0,14.0,3.0,7.0,2.0,5.0,20.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,4.0,3.0,3.0,6.0,2.0,3.0,3.0,3.0,2.0,3.0,8.0
