exemplar,badminton,ballet,baseball,basketball,billiards,boxing,chess,cycling,fencing,golfing,gymnastics,handball,horseback riding,ice hockey,judo,long jump,rugby,running,sailing,shot-put,skiing,soccer,sport fishing,squash,surfing,swimming,table tennis,tennis,volleyball,walking
badminton,20.0,11.0,7.0,13.0,8.0,5.0,10.0,5.0,13.0,9.0,9.0,6.0,3.0,7.0,8.0,5.0,6.0,14.0,5.0,9.0,5.0,9.0,10.0,14.0,6.0,4.0,10.0,17.0,11.0,9.0
ballet,11.0,20.0,5.0,8.0,5.0,6.0,11.0,6.0,11.0,5.0,17.0,9.0,7.0,10.0,13.0,6.0,6.0,12.0,11.0,12.0,7.0,4.0,6.0,12.0,10.0,14.0,11.0,8.0,13.0,13.0
baseball,7.0,5.0,20.0,6.0,8.0,6.0,7.0,7.0,7.0,14.0,8.0,4.0,5.0,5.0,10.0,5.0,6.0,12.0,4.0,9.0,5.0,6.0,9.0,11.0,9.0,6.0,7.0,8.0,8.0,9.0
basketball,13.0,8.0,6.0,20.0,7.0,8.0,4.0,8.0,5.0,11.0,6.0,10.0,7.0,7.0,5.0,6.0,9.0,11.0,7.0,5.0,9.0,12.0,6.0,9.0,4.0,5.0,7.0,7.0,12.0,10.0
billiards,8.0,5.0,8.0,7.0,20.0,6.0,11.0,6.0,7.0,9.0,5.0,8.0,7.0,11.0,8.0,2.0,9.0,5.0,4.0,11.0,5.0,8.0,4.0,4.0,6.0,5.0,9.0,8.0,5.0,8.0
boxing,5.0,6.0,6.0,8.0,6.0,20.0,5.0,5.0,15.0,2.0,7.0,12.0,8.0,14.0,12.0,6.0,16.0,8.0,5.0,9.0,5.0,12.0,5.0,7.0,7.0,8.0,8.0,5.0,5.0,5.0
chess,10.0,11.0,7.0,4.0,11.0,5.0,20.0,6.0,6.0,8.0,6.0,4.0,9.0,4.0,7.0,8.0,6.0,7.0,5.0,3.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,8.0
cycling,5.0,6.0,7.0,8.0,6.0,5.0,6.0,20.0,8.0,8.0,8.0,6.0,11.0,12.0,9.0,12.0,6.0,13.0,9.0,5.0,9.0,8.0,11.0,5.0,5.0,4.0,7.0,10.0,11.0,4.0
fencing,13.0,11.0,7.0,5.0,7.0,15.0,6.0,8.0,20.0,5.0,11.0,3.0,5.0,6.0,12.0,5.0,5.0,6.0,9.0,8.0,8.0,5.0,5.0,12.0,5.0,7.0,8.0,8.0,8.0,8.0
golfing,9.0,5.0,14.0,11.0,9.0,2.0,8.0,8.0,5.0,20.0,11.0,10.0,7.0,4.0,5.0,10.0,5.0,5.0,17.0,14.0,3.0,4.0,7.0,10.0,6.0,6.0,8.0,10.0,4.0,8.0
gymnastics,9.0,17.0,8.0,6.0,5.0,7.0,6.0,8.0,11.0,11.0,20.0,9.0,7.0,7.0,14.0,9.0,5.0,12.0,7.0,8.0,8.0,10.0,9.0,7.0,5.0,12.0,6.0,4.0,12.0,10.0
handball,6.0,9.0,4.0,10.0,8.0,12.0,4.0,6.0,3.0,10.0,9.0,20.0,5.0,9.0,7.0,4.0,13.0,4.0,8.0,5.0,9.0,14.0,6.0,15.0,7.0,9.0,6.0,6.0,17.0,10.0
horseback riding,3.0,7.0,5.0,7.0,7.0,8.0,9.0,11.0,5.0,7.0,7.0,5.0,20.0,1.0,8.0,10.0,4.0,12.0,11.0,6.0,6.0,6.0,6.0,5.0,8.0,7.0,6.0,16.0,4.0,10.0
ice hockey,7.0,10.0,5.0,7.0,11.0,14.0,4.0,12.0,6.0,4.0,7.0,9.0,1.0,20.0,13.0,7.0,6.0,7.0,7.0,5.0,10.0,10.0,7.0,5.0,5.0,4.0,11.0,5.0,9.0,3.0
judo,8.0,13.0,10.0,5.0,8.0,12.0,7.0,9.0,12.0,5.0,14.0,7.0,8.0,13.0,20.0,10.0,5.0,10.0,12.0,9.0,8.0,11.0,9.0,5.0,9.0,1.0,9.0,7.0,5.0,5.0
long jump,5.0,6.0,5.0,6.0,2.0,6.0,8.0,12.0,5.0,10.0,9.0,4.0,10.0,7.0,10.0,20.0,6.0,17.0,5.0,10.0,9.0,8.0,11.0,9.0,5.0,8.0,6.0,8.0,11.0,10.0
rugby,6.0,6.0,6.0,9.0,9.0,16.0,6.0,6.0,5.0,5.0,5.0,13.0,4.0,6.0,5.0,6.0,20.0,16.0,5.0,11.0,6.0,19.0,6.0,7.0,8.0,12.0,6.0,11.0,9.0,5.0
running,14.0,12.0,12.0,11.0,5.0,8.0,7.0,13.0,6.0,5.0,12.0,4.0,12.0,7.0,10.0,17.0,16.0,20.0,5.0,6.0,13.0,12.0,8.0,12.0,5.0,11.0,7.0,8.0,12.0,18.0
