exemplar,adder,alligator,boa,cobra,dinosaurus,gekko,hagedis,hazelworm,kaaiman,kameleon,kikker,krokodil,leguaan,pad,python,salamander,schildpad,slang,varaan,waterschildpad
adder,20.0,8.0,14.0,13.0,2.0,,11.0,16.0,,10.0,8.0,7.0,10.0,6.0,10.0,10.0,8.0,9.0,7.0,6.0
alligator,8.0,20.0,11.0,10.0,13.0,,9.0,1.0,,1.0,8.0,19.0,9.0,6.0,8.0,8.0,11.0,11.0,11.0,9.0
boa,14.0,11.0,20.0,19.0,2.0,,8.0,7.0,,10.0,9.0,8.0,11.0,9.0,19.0,11.0,7.0,20.0,10.0,7.0
cobra,13.0,10.0,19.0,20.0,7.0,,6.0,7.0,,7.0,9.0,9.0,11.0,8.0,18.0,8.0,10.0,20.0,10.0,10.0
dinosaurus,2.0,13.0,2.0,7.0,20.0,,7.0,1.0,,8.0,7.0,12.0,7.0,6.0,9.0,6.0,10.0,1.0,12.0,7.0
gekko,,,,,,20.0,,,,,,,,,,,,,,
hagedis,11.0,9.0,8.0,6.0,7.0,,20.0,11.0,,11.0,16.0,14.0,15.0,16.0,7.0,17.0,13.0,15.0,11.0,12.0
hazelworm,16.0,1.0,7.0,7.0,1.0,,11.0,20.0,,4.0,8.0,2.0,4.0,11.0,6.0,6.0,5.0,10.0,3.0,4.0
kaaiman,,,,,,,,,20.0,,,,,,,,,,,
kameleon,10.0,1.0,10.0,7.0,8.0,,11.0,4.0,,20.0,13.0,9.0,15.0,9.0,12.0,13.0,12.0,10.0,14.0,7.0
kikker,8.0,8.0,9.0,9.0,7.0,,16.0,8.0,,13.0,20.0,9.0,7.0,19.0,9.0,12.0,12.0,6.0,8.0,10.0
krokodil,7.0,19.0,8.0,9.0,12.0,,14.0,2.0,,9.0,9.0,20.0,10.0,3.0,10.0,9.0,9.0,10.0,7.0,9.0
leguaan,10.0,9.0,11.0,11.0,7.0,,15.0,4.0,,15.0,7.0,10.0,20.0,6.0,10.0,13.0,10.0,12.0,16.0,9.0
pad,6.0,6.0,9.0,8.0,6.0,,16.0,11.0,,9.0,19.0,3.0,6.0,20.0,3.0,13.0,10.0,8.0,8.0,10.0
python,10.0,8.0,19.0,18.0,9.0,,7.0,6.0,,12.0,9.0,10.0,10.0,3.0,20.0,8.0,9.0,19.0,9.0,9.0
salamander,10.0,8.0,11.0,8.0,6.0,,17.0,6.0,,13.0,12.0,9.0,13.0,13.0,8.0,20.0,14.0,10.0,13.0,8.0
schildpad,8.0,11.0,7.0,10.0,10.0,,13.0,5.0,,12.0,12.0,9.0,10.0,10.0,9.0,14.0,20.0,7.0,10.0,19.0
slang,9.0,11.0,20.0,20.0,1.0,,15.0,10.0,,10.0,6.0,10.0,12.0,8.0,19.0,10.0,7.0,20.0,6.0,8.0
varaan,7.0,11.0,10.0,10.0,12.0,,11.0,3.0,,14.0,8.0,7.0,16.0,8.0,9.0,13.0,10.0,6.0,20.0,10.0
waterschildpad,6.0,9.0,7.0,10.0,7.0,,12.0,4.0,,7.0,10.0,9.0,9.0,10.0,9.0,8.0,19.0,8.0,10.0,20.0
