exemplar,adder,alligator,boa,cobra,dinosaurus,gekko,hagedis,hazelworm,kaaiman,kameleon,kikker,krokodil,leguaan,pad,python,salamander,schildpad,slang,varaan,waterschildpad
adder,20.0,5.0,14.0,16.0,4.0,,4.0,18.0,3.0,4.0,3.0,4.0,3.0,4.0,14.0,4.0,3.0,18.0,4.0,4.0
alligator,5.0,20.0,4.0,4.0,10.0,,8.0,4.0,20.0,10.0,4.0,20.0,12.0,4.0,5.0,4.0,4.0,4.0,12.0,3.0
boa,14.0,4.0,20.0,18.0,4.0,,4.0,14.0,4.0,4.0,3.0,4.0,4.0,3.0,17.0,4.0,3.0,20.0,4.0,4.0
cobra,16.0,4.0,18.0,20.0,4.0,,4.0,16.0,4.0,5.0,2.0,4.0,4.0,4.0,18.0,4.0,3.0,20.0,4.0,4.0
dinosaurus,4.0,10.0,4.0,4.0,20.0,,4.0,3.0,5.0,5.0,3.0,5.0,3.0,4.0,6.0,5.0,4.0,4.0,4.0,4.0
gekko,,,,,,20.0,,,,,,,,,,,,,,
hagedis,4.0,8.0,4.0,4.0,4.0,,20.0,3.0,7.0,15.0,4.0,13.0,15.0,4.0,5.0,18.0,5.0,5.0,13.0,3.0
hazelworm,18.0,4.0,14.0,16.0,3.0,,3.0,20.0,4.0,4.0,3.0,4.0,4.0,3.0,12.0,4.0,3.0,15.0,4.0,4.0
kaaiman,3.0,20.0,4.0,4.0,5.0,,7.0,4.0,20.0,8.0,3.0,20.0,6.0,3.0,4.0,12.0,4.0,4.0,4.0,5.0
kameleon,4.0,10.0,4.0,5.0,5.0,,15.0,4.0,8.0,20.0,3.0,7.0,9.0,4.0,6.0,15.0,4.0,4.0,14.0,4.0
kikker,3.0,4.0,3.0,2.0,3.0,,4.0,3.0,3.0,3.0,20.0,4.0,4.0,18.0,2.0,4.0,4.0,3.0,4.0,5.0
krokodil,4.0,20.0,4.0,4.0,5.0,,13.0,4.0,20.0,7.0,4.0,20.0,8.0,4.0,4.0,8.0,4.0,3.0,10.0,4.0
leguaan,3.0,12.0,4.0,4.0,3.0,,15.0,4.0,6.0,9.0,4.0,8.0,20.0,3.0,4.0,10.0,4.0,4.0,15.0,4.0
pad,4.0,4.0,3.0,4.0,4.0,,4.0,3.0,3.0,4.0,18.0,4.0,3.0,20.0,3.0,4.0,3.0,4.0,4.0,4.0
python,14.0,5.0,17.0,18.0,6.0,,5.0,12.0,4.0,6.0,2.0,4.0,4.0,3.0,20.0,4.0,4.0,20.0,4.0,3.0
salamander,4.0,4.0,4.0,4.0,5.0,,18.0,4.0,12.0,15.0,4.0,8.0,10.0,4.0,4.0,20.0,3.0,6.0,10.0,4.0
schildpad,3.0,4.0,3.0,3.0,4.0,,5.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,20.0,4.0,5.0,19.0
slang,18.0,4.0,20.0,20.0,4.0,,5.0,15.0,4.0,4.0,3.0,3.0,4.0,4.0,20.0,6.0,4.0,20.0,4.0,4.0
varaan,4.0,12.0,4.0,4.0,4.0,,13.0,4.0,4.0,14.0,4.0,10.0,15.0,4.0,4.0,10.0,5.0,4.0,20.0,4.0
waterschildpad,4.0,3.0,4.0,4.0,4.0,,3.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,19.0,4.0,4.0,20.0
