exemplar,adder,alligator,boa,cobra,dinosaurus,gekko,hagedis,hazelworm,kaaiman,kameleon,kikker,krokodil,leguaan,pad,python,salamander,schildpad,slang,varaan,waterschildpad
adder,20.0,17.0,19.0,19.0,13.0,14.0,17.0,19.0,14.0,17.0,18.0,13.0,16.0,17.0,18.0,18.0,15.0,19.0,16.0,1.0
alligator,17.0,20.0,16.0,16.0,18.0,15.0,17.0,10.0,20.0,17.0,16.0,20.0,16.0,17.0,14.0,16.0,18.0,17.0,18.0,16.0
boa,19.0,16.0,20.0,19.0,15.0,15.0,13.0,18.0,16.0,14.0,17.0,17.0,18.0,15.0,19.0,14.0,15.0,20.0,13.0,17.0
cobra,19.0,16.0,19.0,20.0,12.0,16.0,12.0,15.0,16.0,14.0,18.0,17.0,13.0,16.0,19.0,15.0,15.0,20.0,13.0,14.0
dinosaurus,13.0,18.0,15.0,12.0,20.0,16.0,19.0,1.0,16.0,17.0,12.0,17.0,18.0,15.0,16.0,18.0,17.0,16.0,18.0,17.0
gekko,14.0,15.0,15.0,16.0,16.0,20.0,18.0,13.0,17.0,19.0,17.0,17.0,17.0,16.0,16.0,18.0,15.0,18.0,18.0,14.0
hagedis,17.0,17.0,13.0,12.0,19.0,18.0,20.0,18.0,18.0,18.0,17.0,17.0,18.0,18.0,18.0,19.0,17.0,15.0,18.0,17.0
hazelworm,19.0,10.0,18.0,15.0,1.0,13.0,18.0,20.0,12.0,16.0,17.0,14.0,14.0,16.0,18.0,16.0,14.0,19.0,16.0,12.0
kaaiman,14.0,20.0,16.0,16.0,16.0,17.0,18.0,12.0,20.0,15.0,16.0,20.0,16.0,15.0,16.0,15.0,14.0,16.0,17.0,15.0
kameleon,17.0,17.0,14.0,14.0,17.0,19.0,18.0,16.0,15.0,20.0,17.0,16.0,17.0,18.0,16.0,18.0,18.0,17.0,16.0,14.0
kikker,18.0,16.0,17.0,18.0,12.0,17.0,17.0,17.0,16.0,17.0,20.0,17.0,16.0,19.0,14.0,18.0,16.0,15.0,16.0,15.0
krokodil,13.0,20.0,17.0,17.0,17.0,17.0,17.0,14.0,20.0,16.0,17.0,20.0,17.0,12.0,16.0,17.0,14.0,17.0,17.0,18.0
leguaan,16.0,16.0,18.0,13.0,18.0,17.0,18.0,14.0,16.0,17.0,16.0,17.0,20.0,17.0,16.0,18.0,17.0,14.0,19.0,17.0
pad,17.0,17.0,15.0,16.0,15.0,16.0,18.0,16.0,15.0,18.0,19.0,12.0,17.0,20.0,17.0,18.0,14.0,18.0,9.0,17.0
python,18.0,14.0,19.0,19.0,16.0,16.0,18.0,18.0,16.0,16.0,14.0,16.0,16.0,17.0,20.0,13.0,16.0,20.0,15.0,15.0
salamander,18.0,16.0,14.0,15.0,18.0,18.0,19.0,16.0,15.0,18.0,18.0,17.0,18.0,18.0,13.0,20.0,16.0,18.0,17.0,18.0
schildpad,15.0,18.0,15.0,15.0,17.0,15.0,17.0,14.0,14.0,18.0,16.0,14.0,17.0,14.0,16.0,16.0,20.0,12.0,18.0,20.0
slang,19.0,17.0,20.0,20.0,16.0,18.0,15.0,19.0,16.0,17.0,15.0,17.0,14.0,18.0,20.0,18.0,12.0,20.0,16.0,14.0
varaan,16.0,18.0,13.0,13.0,18.0,18.0,18.0,16.0,17.0,16.0,16.0,17.0,19.0,9.0,15.0,17.0,18.0,16.0,20.0,16.0
waterschildpad,1.0,16.0,17.0,14.0,17.0,14.0,17.0,12.0,15.0,14.0,15.0,18.0,17.0,17.0,15.0,18.0,20.0,14.0,16.0,20.0
