exemplar,adder,alligator,boa,cobra,dinosaurus,gekko,hagedis,hazelworm,kaaiman,kameleon,kikker,krokodil,leguaan,pad,python,salamander,schildpad,slang,varaan,waterschildpad
adder,20.0,9.0,15.0,16.0,10.0,,13.0,,11.0,11.0,13.0,12.0,,13.0,15.0,13.0,10.0,15.0,,12.0
alligator,9.0,20.0,10.0,5.0,11.0,,11.0,,18.0,12.0,11.0,16.0,,12.0,12.0,11.0,8.0,9.0,,10.0
boa,15.0,10.0,20.0,15.0,10.0,,11.0,,7.0,11.0,11.0,11.0,,12.0,15.0,11.0,11.0,17.0,,11.0
cobra,16.0,5.0,15.0,20.0,10.0,,14.0,,11.0,12.0,12.0,9.0,,10.0,15.0,11.0,11.0,17.0,,12.0
dinosaurus,10.0,11.0,10.0,10.0,20.0,,13.0,,11.0,10.0,10.0,9.0,,11.0,5.0,11.0,9.0,9.0,,13.0
gekko,,,,,,20.0,,,,,,,,,,,,,,
hagedis,13.0,11.0,11.0,14.0,13.0,,20.0,,11.0,14.0,8.0,11.0,,11.0,11.0,16.0,9.0,12.0,,13.0
hazelworm,,,,,,,,20.0,,,,,,,,,,,,
kaaiman,11.0,18.0,7.0,11.0,11.0,,11.0,,20.0,12.0,11.0,15.0,,10.0,11.0,12.0,10.0,12.0,,10.0
kameleon,11.0,12.0,11.0,12.0,10.0,,14.0,,12.0,20.0,14.0,12.0,,11.0,14.0,15.0,11.0,12.0,,11.0
kikker,13.0,11.0,11.0,12.0,10.0,,8.0,,11.0,14.0,20.0,11.0,,18.0,11.0,9.0,8.0,11.0,,13.0
krokodil,12.0,16.0,11.0,9.0,9.0,,11.0,,15.0,12.0,11.0,20.0,,11.0,10.0,12.0,11.0,13.0,,12.0
leguaan,,,,,,,,,,,,,20.0,,,,,,,
pad,13.0,12.0,12.0,10.0,11.0,,11.0,,10.0,11.0,18.0,11.0,,20.0,14.0,11.0,12.0,12.0,,11.0
python,15.0,12.0,15.0,15.0,5.0,,11.0,,11.0,14.0,11.0,10.0,,14.0,20.0,11.0,11.0,16.0,,12.0
salamander,13.0,11.0,11.0,11.0,11.0,,16.0,,12.0,15.0,9.0,12.0,,11.0,11.0,20.0,12.0,12.0,,12.0
schildpad,10.0,8.0,11.0,11.0,9.0,,9.0,,10.0,11.0,8.0,11.0,,12.0,11.0,12.0,20.0,12.0,,18.0
slang,15.0,9.0,17.0,17.0,9.0,,12.0,,12.0,12.0,11.0,13.0,,12.0,16.0,12.0,12.0,20.0,,11.0
varaan,,,,,,,,,,,,,,,,,,,20.0,
waterschildpad,12.0,10.0,11.0,12.0,13.0,,13.0,,10.0,11.0,13.0,12.0,,11.0,12.0,12.0,18.0,11.0,,20.0
