exemplar,adder,alligator,boa,cobra,dinosaurus,gekko,hagedis,hazelworm,kaaiman,kameleon,kikker,krokodil,leguaan,pad,python,salamander,schildpad,slang,varaan,waterschildpad
adder,20.0,14.0,18.0,16.0,6.0,8.0,13.0,,9.0,15.0,11.0,11.0,11.0,11.0,18.0,12.0,9.0,18.0,,11.0
alligator,14.0,20.0,15.0,12.0,13.0,11.0,14.0,,16.0,13.0,11.0,16.0,13.0,7.0,14.0,13.0,9.0,11.0,,7.0
boa,18.0,15.0,20.0,18.0,8.0,7.0,15.0,,13.0,13.0,8.0,11.0,15.0,6.0,18.0,9.0,10.0,17.0,,8.0
cobra,16.0,12.0,18.0,20.0,5.0,8.0,13.0,,12.0,8.0,4.0,13.0,12.0,6.0,18.0,12.0,8.0,17.0,,9.0
dinosaurus,6.0,13.0,8.0,5.0,20.0,12.0,12.0,,13.0,11.0,6.0,14.0,11.0,12.0,6.0,15.0,13.0,10.0,,12.0
gekko,8.0,11.0,7.0,8.0,12.0,20.0,17.0,,15.0,15.0,8.0,13.0,13.0,12.0,12.0,17.0,12.0,8.0,,11.0
hagedis,13.0,14.0,15.0,13.0,12.0,17.0,20.0,,15.0,14.0,11.0,12.0,13.0,13.0,12.0,17.0,7.0,14.0,,6.0
hazelworm,,,,,,,,20.0,,,,,,,1.0,,,,,
kaaiman,9.0,16.0,13.0,12.0,13.0,15.0,15.0,,20.0,12.0,11.0,15.0,16.0,13.0,9.0,17.0,11.0,13.0,,12.0
kameleon,15.0,13.0,13.0,8.0,11.0,15.0,14.0,,12.0,20.0,16.0,11.0,11.0,10.0,11.0,16.0,9.0,9.0,,13.0
kikker,11.0,11.0,8.0,4.0,6.0,8.0,11.0,,11.0,16.0,20.0,7.0,6.0,17.0,9.0,11.0,11.0,11.0,,11.0
krokodil,11.0,16.0,11.0,13.0,14.0,13.0,12.0,,15.0,11.0,7.0,20.0,11.0,7.0,10.0,8.0,8.0,9.0,,12.0
leguaan,11.0,13.0,15.0,12.0,11.0,13.0,13.0,,16.0,11.0,6.0,11.0,20.0,7.0,7.0,17.0,12.0,14.0,,13.0
pad,11.0,7.0,6.0,6.0,12.0,12.0,13.0,,13.0,10.0,17.0,7.0,7.0,20.0,6.0,13.0,15.0,9.0,,6.0
python,18.0,14.0,18.0,18.0,6.0,12.0,12.0,1.0,9.0,11.0,9.0,10.0,7.0,6.0,20.0,11.0,13.0,18.0,,14.0
salamander,12.0,13.0,9.0,12.0,15.0,17.0,17.0,,17.0,16.0,11.0,8.0,17.0,13.0,11.0,20.0,10.0,8.0,,13.0
schildpad,9.0,9.0,10.0,8.0,13.0,12.0,7.0,,11.0,9.0,11.0,8.0,12.0,15.0,13.0,10.0,20.0,13.0,,17.0
slang,18.0,11.0,17.0,17.0,10.0,8.0,14.0,,13.0,9.0,11.0,9.0,14.0,9.0,18.0,8.0,13.0,20.0,,11.0
varaan,,,,,,,,,,,,,,,,,,,20.0,
waterschildpad,11.0,7.0,8.0,9.0,12.0,11.0,6.0,,12.0,13.0,11.0,12.0,13.0,6.0,14.0,13.0,17.0,11.0,,20.0
