exemplar,adder,alligator,boa,cobra,dinosaurus,gekko,hagedis,hazelworm,kaaiman,kameleon,kikker,krokodil,leguaan,pad,python,salamander,schildpad,slang,varaan,waterschildpad
adder,20.0,12.0,18.0,15.0,13.0,12.0,11.0,17.0,11.0,15.0,11.0,14.0,10.0,13.0,19.0,13.0,11.0,19.0,,10.0
alligator,12.0,20.0,10.0,17.0,13.0,14.0,13.0,14.0,17.0,12.0,11.0,19.0,12.0,12.0,14.0,14.0,12.0,13.0,,15.0
boa,18.0,10.0,20.0,16.0,12.0,13.0,13.0,17.0,14.0,13.0,11.0,14.0,13.0,12.0,14.0,13.0,12.0,17.0,,12.0
cobra,15.0,17.0,16.0,20.0,10.0,10.0,12.0,19.0,10.0,11.0,10.0,13.0,9.0,14.0,18.0,10.0,12.0,19.0,,11.0
dinosaurus,13.0,13.0,12.0,10.0,20.0,10.0,16.0,13.0,12.0,13.0,10.0,17.0,12.0,12.0,13.0,14.0,11.0,11.0,,9.0
gekko,12.0,14.0,13.0,10.0,10.0,20.0,19.0,12.0,13.0,16.0,10.0,13.0,11.0,12.0,12.0,14.0,13.0,12.0,,11.0
hagedis,11.0,13.0,13.0,12.0,16.0,19.0,20.0,11.0,12.0,16.0,13.0,14.0,15.0,16.0,13.0,16.0,16.0,11.0,,14.0
hazelworm,17.0,14.0,17.0,19.0,13.0,12.0,11.0,20.0,12.0,11.0,12.0,14.0,14.0,12.0,18.0,10.0,12.0,14.0,,11.0
kaaiman,11.0,17.0,14.0,10.0,12.0,13.0,12.0,12.0,20.0,18.0,12.0,17.0,14.0,15.0,11.0,15.0,16.0,12.0,,14.0
kameleon,15.0,12.0,13.0,11.0,13.0,16.0,16.0,11.0,18.0,20.0,16.0,11.0,17.0,12.0,16.0,12.0,14.0,17.0,,15.0
kikker,11.0,11.0,11.0,10.0,10.0,10.0,13.0,12.0,12.0,16.0,20.0,13.0,15.0,19.0,11.0,13.0,11.0,12.0,,12.0
krokodil,14.0,19.0,14.0,13.0,17.0,13.0,14.0,14.0,17.0,11.0,13.0,20.0,11.0,12.0,10.0,13.0,17.0,13.0,,11.0
leguaan,10.0,12.0,13.0,9.0,12.0,11.0,15.0,14.0,14.0,17.0,15.0,11.0,20.0,10.0,14.0,15.0,11.0,17.0,,10.0
pad,13.0,12.0,12.0,14.0,12.0,12.0,16.0,12.0,15.0,12.0,19.0,12.0,10.0,20.0,10.0,11.0,12.0,12.0,,14.0
python,19.0,14.0,14.0,18.0,13.0,12.0,13.0,18.0,11.0,16.0,11.0,10.0,14.0,10.0,20.0,11.0,10.0,19.0,,11.0
salamander,13.0,14.0,13.0,10.0,14.0,14.0,16.0,10.0,15.0,12.0,13.0,13.0,15.0,11.0,11.0,20.0,12.0,12.0,,18.0
schildpad,11.0,12.0,12.0,12.0,11.0,13.0,16.0,12.0,16.0,14.0,11.0,17.0,11.0,12.0,10.0,12.0,20.0,11.0,,19.0
slang,19.0,13.0,17.0,19.0,11.0,12.0,11.0,14.0,12.0,17.0,12.0,13.0,17.0,12.0,19.0,12.0,11.0,20.0,,14.0
varaan,,,,,,,,,,,,,,,,,,,20.0,
waterschildpad,10.0,15.0,12.0,11.0,9.0,11.0,14.0,11.0,14.0,15.0,12.0,11.0,10.0,14.0,11.0,18.0,19.0,14.0,,20.0
