exemplar,adder,alligator,boa,cobra,dinosaurus,gekko,hagedis,hazelworm,kaaiman,kameleon,kikker,krokodil,leguaan,pad,python,salamander,schildpad,slang,varaan,waterschildpad
adder,20.0,5.0,14.0,17.0,2.0,4.0,9.0,10.0,,5.0,4.0,3.0,7.0,3.0,17.0,8.0,3.0,17.0,5.0,5.0
alligator,5.0,20.0,3.0,6.0,9.0,11.0,8.0,3.0,,5.0,5.0,18.0,10.0,5.0,6.0,11.0,6.0,3.0,11.0,11.0
boa,14.0,3.0,20.0,19.0,5.0,3.0,8.0,6.0,,6.0,4.0,5.0,6.0,4.0,19.0,8.0,7.0,20.0,5.0,6.0
cobra,17.0,6.0,19.0,20.0,1.0,6.0,4.0,8.0,,3.0,4.0,4.0,9.0,5.0,17.0,9.0,6.0,18.0,6.0,5.0
dinosaurus,2.0,9.0,5.0,1.0,20.0,9.0,12.0,2.0,,5.0,3.0,10.0,10.0,2.0,2.0,11.0,3.0,9.0,9.0,5.0
gekko,4.0,11.0,3.0,6.0,9.0,20.0,12.0,3.0,,8.0,7.0,15.0,12.0,3.0,8.0,14.0,8.0,6.0,13.0,8.0
hagedis,9.0,8.0,8.0,4.0,12.0,12.0,20.0,3.0,,10.0,9.0,8.0,12.0,7.0,7.0,15.0,6.0,8.0,13.0,8.0
hazelworm,10.0,3.0,6.0,8.0,2.0,3.0,3.0,20.0,,2.0,4.0,3.0,3.0,2.0,10.0,3.0,5.0,10.0,2.0,10.0
kaaiman,,,,,,,,,20.0,,,,,,,,,,,
kameleon,5.0,5.0,6.0,3.0,5.0,8.0,10.0,2.0,,20.0,6.0,4.0,9.0,7.0,5.0,9.0,5.0,5.0,9.0,4.0
kikker,4.0,5.0,4.0,4.0,3.0,7.0,9.0,4.0,,6.0,20.0,5.0,4.0,19.0,3.0,8.0,4.0,6.0,3.0,6.0
krokodil,3.0,18.0,5.0,4.0,10.0,15.0,8.0,3.0,,4.0,5.0,20.0,11.0,7.0,5.0,12.0,9.0,4.0,9.0,10.0
leguaan,7.0,10.0,6.0,9.0,10.0,12.0,12.0,3.0,,9.0,4.0,11.0,20.0,5.0,8.0,13.0,6.0,6.0,15.0,7.0
pad,3.0,5.0,4.0,5.0,2.0,3.0,7.0,2.0,,7.0,19.0,7.0,5.0,20.0,5.0,5.0,4.0,4.0,3.0,6.0
python,17.0,6.0,19.0,17.0,2.0,8.0,7.0,10.0,,5.0,3.0,5.0,8.0,5.0,20.0,7.0,5.0,20.0,5.0,3.0
salamander,8.0,11.0,8.0,9.0,11.0,14.0,15.0,3.0,,9.0,8.0,12.0,13.0,5.0,7.0,20.0,5.0,10.0,15.0,9.0
schildpad,3.0,6.0,7.0,6.0,3.0,8.0,6.0,5.0,,5.0,4.0,9.0,6.0,4.0,5.0,5.0,20.0,9.0,9.0,18.0
slang,17.0,3.0,20.0,18.0,9.0,6.0,8.0,10.0,,5.0,6.0,4.0,6.0,4.0,20.0,10.0,9.0,20.0,6.0,5.0
varaan,5.0,11.0,5.0,6.0,9.0,13.0,13.0,2.0,,9.0,3.0,9.0,15.0,3.0,5.0,15.0,9.0,6.0,20.0,7.0
waterschildpad,5.0,11.0,6.0,5.0,5.0,8.0,8.0,10.0,,4.0,6.0,10.0,7.0,6.0,3.0,9.0,18.0,5.0,7.0,20.0
