exemplar,adder,alligator,boa,cobra,dinosaurus,gekko,hagedis,hazelworm,kaaiman,kameleon,kikker,krokodil,leguaan,pad,python,salamander,schildpad,slang,varaan,waterschildpad
adder,20.0,14.0,20.0,20.0,15.0,19.0,11.0,8.0,14.0,11.0,12.0,14.0,19.0,14.0,20.0,12.0,14.0,20.0,14.0,5.0
alligator,14.0,20.0,16.0,16.0,11.0,15.0,12.0,11.0,20.0,9.0,14.0,20.0,16.0,11.0,16.0,3.0,17.0,13.0,15.0,11.0
boa,20.0,16.0,20.0,20.0,14.0,11.0,11.0,18.0,13.0,16.0,11.0,12.0,16.0,16.0,20.0,14.0,13.0,20.0,19.0,13.0
cobra,20.0,16.0,20.0,20.0,12.0,12.0,14.0,3.0,16.0,9.0,10.0,16.0,15.0,13.0,20.0,12.0,15.0,20.0,15.0,11.0
dinosaurus,15.0,11.0,14.0,12.0,20.0,15.0,17.0,12.0,16.0,15.0,6.0,12.0,18.0,14.0,13.0,12.0,11.0,16.0,14.0,16.0
gekko,19.0,15.0,11.0,12.0,15.0,20.0,19.0,12.0,15.0,20.0,9.0,8.0,13.0,15.0,12.0,15.0,13.0,11.0,17.0,7.0
hagedis,11.0,12.0,11.0,14.0,17.0,19.0,20.0,16.0,15.0,16.0,16.0,12.0,19.0,11.0,12.0,19.0,16.0,8.0,16.0,14.0
hazelworm,8.0,11.0,18.0,3.0,12.0,12.0,16.0,20.0,12.0,13.0,6.0,13.0,5.0,11.0,10.0,16.0,9.0,18.0,15.0,1.0
kaaiman,14.0,20.0,13.0,16.0,16.0,15.0,15.0,12.0,20.0,13.0,15.0,20.0,18.0,2.0,16.0,2.0,15.0,12.0,13.0,13.0
kameleon,11.0,9.0,16.0,9.0,15.0,20.0,16.0,13.0,13.0,20.0,12.0,14.0,19.0,9.0,13.0,18.0,16.0,13.0,18.0,6.0
kikker,12.0,14.0,11.0,10.0,6.0,9.0,16.0,6.0,15.0,12.0,20.0,3.0,12.0,19.0,11.0,14.0,6.0,11.0,11.0,15.0
krokodil,14.0,20.0,12.0,16.0,12.0,8.0,12.0,13.0,20.0,14.0,3.0,20.0,14.0,13.0,12.0,12.0,10.0,14.0,19.0,14.0
leguaan,19.0,16.0,16.0,15.0,18.0,13.0,19.0,5.0,18.0,19.0,12.0,14.0,20.0,15.0,17.0,14.0,12.0,16.0,19.0,12.0
pad,14.0,11.0,16.0,13.0,14.0,15.0,11.0,11.0,2.0,9.0,19.0,13.0,15.0,20.0,7.0,16.0,6.0,18.0,11.0,3.0
python,20.0,16.0,20.0,20.0,13.0,12.0,12.0,10.0,16.0,13.0,11.0,12.0,17.0,7.0,20.0,14.0,5.0,20.0,14.0,5.0
salamander,12.0,3.0,14.0,12.0,12.0,15.0,19.0,16.0,2.0,18.0,14.0,12.0,14.0,16.0,14.0,20.0,13.0,13.0,12.0,12.0
schildpad,14.0,17.0,13.0,15.0,11.0,13.0,16.0,9.0,15.0,16.0,6.0,10.0,12.0,6.0,5.0,13.0,20.0,5.0,15.0,20.0
slang,20.0,13.0,20.0,20.0,16.0,11.0,8.0,18.0,12.0,13.0,11.0,14.0,16.0,18.0,20.0,13.0,5.0,20.0,14.0,12.0
varaan,14.0,15.0,19.0,15.0,14.0,17.0,16.0,15.0,13.0,18.0,11.0,19.0,19.0,11.0,14.0,12.0,15.0,14.0,20.0,12.0
waterschildpad,5.0,11.0,13.0,11.0,16.0,7.0,14.0,1.0,13.0,6.0,15.0,14.0,12.0,3.0,5.0,12.0,20.0,12.0,12.0,20.0
