exemplar,adder,alligator,boa,cobra,dinosaurus,gekko,hagedis,hazelworm,kaaiman,kameleon,kikker,krokodil,leguaan,pad,python,salamander,schildpad,slang,varaan,waterschildpad
adder,20.0,9.0,13.0,14.0,1.0,,14.0,17.0,8.0,6.0,8.0,10.0,8.0,11.0,15.0,14.0,9.0,18.0,6.0,9.0
alligator,9.0,20.0,13.0,13.0,10.0,,12.0,8.0,18.0,7.0,14.0,19.0,16.0,6.0,12.0,11.0,10.0,13.0,12.0,11.0
boa,13.0,13.0,20.0,18.0,14.0,,11.0,16.0,14.0,13.0,9.0,13.0,12.0,9.0,19.0,11.0,8.0,19.0,11.0,8.0
cobra,14.0,13.0,18.0,20.0,3.0,,12.0,9.0,11.0,13.0,8.0,13.0,13.0,6.0,18.0,12.0,7.0,19.0,11.0,4.0
dinosaurus,1.0,10.0,14.0,3.0,20.0,,9.0,1.0,12.0,3.0,4.0,11.0,9.0,3.0,9.0,9.0,7.0,10.0,13.0,6.0
gekko,,,,,,20.0,,,,,,,,,,,,,,
hagedis,14.0,12.0,11.0,12.0,9.0,,20.0,13.0,11.0,15.0,9.0,11.0,15.0,8.0,7.0,16.0,11.0,11.0,11.0,11.0
hazelworm,17.0,8.0,16.0,9.0,1.0,,13.0,20.0,3.0,5.0,5.0,8.0,10.0,8.0,10.0,13.0,8.0,17.0,9.0,7.0
kaaiman,8.0,18.0,14.0,11.0,12.0,,11.0,3.0,20.0,12.0,7.0,19.0,3.0,3.0,12.0,13.0,12.0,10.0,14.0,12.0
kameleon,6.0,7.0,13.0,13.0,3.0,,15.0,5.0,12.0,20.0,12.0,12.0,15.0,5.0,11.0,14.0,9.0,11.0,15.0,4.0
kikker,8.0,14.0,9.0,8.0,4.0,,9.0,5.0,7.0,12.0,20.0,11.0,8.0,19.0,11.0,11.0,14.0,11.0,9.0,11.0
krokodil,10.0,19.0,13.0,13.0,11.0,,11.0,8.0,19.0,12.0,11.0,20.0,13.0,11.0,11.0,8.0,11.0,11.0,11.0,9.0
leguaan,8.0,16.0,12.0,13.0,9.0,,15.0,10.0,3.0,15.0,8.0,13.0,20.0,9.0,10.0,16.0,16.0,11.0,14.0,11.0
pad,11.0,6.0,9.0,6.0,3.0,,8.0,8.0,3.0,5.0,19.0,11.0,9.0,20.0,9.0,8.0,13.0,11.0,9.0,16.0
python,15.0,12.0,19.0,18.0,9.0,,7.0,10.0,12.0,11.0,11.0,11.0,10.0,9.0,20.0,12.0,10.0,19.0,10.0,4.0
salamander,14.0,11.0,11.0,12.0,9.0,,16.0,13.0,13.0,14.0,11.0,8.0,16.0,8.0,12.0,20.0,14.0,10.0,14.0,8.0
schildpad,9.0,10.0,8.0,7.0,7.0,,11.0,8.0,12.0,9.0,14.0,11.0,16.0,13.0,10.0,14.0,20.0,8.0,11.0,19.0
slang,18.0,13.0,19.0,19.0,10.0,,11.0,17.0,10.0,11.0,11.0,11.0,11.0,11.0,19.0,10.0,8.0,20.0,4.0,9.0
varaan,6.0,12.0,11.0,11.0,13.0,,11.0,9.0,14.0,15.0,9.0,11.0,14.0,9.0,10.0,14.0,11.0,4.0,20.0,8.0
waterschildpad,9.0,11.0,8.0,4.0,6.0,,11.0,7.0,12.0,4.0,11.0,9.0,11.0,16.0,4.0,8.0,19.0,9.0,8.0,20.0
