exemplar,adder,alligator,boa,cobra,dinosaurus,gekko,hagedis,hazelworm,kaaiman,kameleon,kikker,krokodil,leguaan,pad,python,salamander,schildpad,slang,varaan,waterschildpad
adder,20.0,5.0,18.0,9.0,4.0,3.0,9.0,8.0,5.0,6.0,4.0,6.0,6.0,8.0,11.0,9.0,5.0,19.0,6.0,3.0
alligator,5.0,20.0,7.0,11.0,9.0,8.0,11.0,2.0,18.0,11.0,2.0,18.0,5.0,7.0,11.0,6.0,6.0,12.0,16.0,1.0
boa,18.0,7.0,20.0,14.0,3.0,2.0,8.0,8.0,5.0,6.0,5.0,15.0,6.0,6.0,19.0,8.0,6.0,19.0,7.0,3.0
cobra,9.0,11.0,14.0,20.0,3.0,6.0,8.0,1.0,12.0,5.0,6.0,4.0,7.0,3.0,11.0,6.0,3.0,19.0,3.0,1.0
dinosaurus,4.0,9.0,3.0,3.0,20.0,1.0,12.0,1.0,13.0,2.0,1.0,11.0,4.0,2.0,1.0,2.0,5.0,1.0,16.0,4.0
gekko,3.0,8.0,2.0,6.0,1.0,20.0,15.0,3.0,1.0,16.0,12.0,5.0,15.0,15.0,3.0,18.0,1.0,6.0,4.0,1.0
hagedis,9.0,11.0,8.0,8.0,12.0,15.0,20.0,4.0,9.0,16.0,8.0,14.0,17.0,7.0,12.0,6.0,6.0,8.0,16.0,3.0
hazelworm,8.0,2.0,8.0,1.0,1.0,3.0,4.0,20.0,1.0,4.0,2.0,2.0,4.0,2.0,7.0,6.0,3.0,5.0,2.0,2.0
kaaiman,5.0,18.0,5.0,12.0,13.0,1.0,9.0,1.0,20.0,6.0,3.0,17.0,6.0,6.0,10.0,8.0,2.0,9.0,10.0,3.0
kameleon,6.0,11.0,6.0,5.0,2.0,16.0,16.0,4.0,6.0,20.0,6.0,6.0,15.0,7.0,4.0,13.0,1.0,12.0,12.0,3.0
kikker,4.0,2.0,5.0,6.0,1.0,12.0,8.0,2.0,3.0,6.0,20.0,6.0,5.0,15.0,4.0,11.0,14.0,4.0,3.0,14.0
krokodil,6.0,18.0,15.0,4.0,11.0,5.0,14.0,2.0,17.0,6.0,6.0,20.0,8.0,4.0,7.0,3.0,2.0,4.0,15.0,4.0
leguaan,6.0,5.0,6.0,7.0,4.0,15.0,17.0,4.0,6.0,15.0,5.0,8.0,20.0,6.0,4.0,14.0,3.0,3.0,11.0,4.0
pad,8.0,7.0,6.0,3.0,2.0,15.0,7.0,2.0,6.0,7.0,15.0,4.0,6.0,20.0,3.0,9.0,4.0,8.0,5.0,3.0
python,11.0,11.0,19.0,11.0,1.0,3.0,12.0,7.0,10.0,4.0,4.0,7.0,4.0,3.0,20.0,4.0,1.0,19.0,6.0,4.0
salamander,9.0,6.0,8.0,6.0,2.0,18.0,6.0,6.0,8.0,13.0,11.0,3.0,14.0,9.0,4.0,20.0,6.0,12.0,3.0,2.0
schildpad,5.0,6.0,6.0,3.0,5.0,1.0,6.0,3.0,2.0,1.0,14.0,2.0,3.0,4.0,1.0,6.0,20.0,4.0,4.0,19.0
slang,19.0,12.0,19.0,19.0,1.0,6.0,8.0,5.0,9.0,12.0,4.0,4.0,3.0,8.0,19.0,12.0,4.0,20.0,3.0,11.0
varaan,6.0,16.0,7.0,3.0,16.0,4.0,16.0,2.0,10.0,12.0,3.0,15.0,11.0,5.0,6.0,3.0,4.0,3.0,20.0,3.0
waterschildpad,3.0,1.0,3.0,1.0,4.0,1.0,3.0,2.0,3.0,3.0,14.0,4.0,4.0,3.0,4.0,2.0,19.0,11.0,3.0,20.0
